vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_description,vmrs_system,confidence_score,match_reasoning,match_rank
FS19905G,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19915,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19942,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19947,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19966,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19974,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20028,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20040,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20081,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20083,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20087,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20089,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20091,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20121,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20128,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20132,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20172,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20176,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20194,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20207,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20208,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20288,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20313,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS20385,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS36401,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS53000,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
HC3Z-9601-A,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
HC3Z-9601-B,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
HF28943,FLEETGUARD,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
HF35099,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF35135,FLEETGUARD,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
HF35296,FLEETGUARD,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
HF35387,FLEETGUARD,"FILTER, OIL, POWER STEERING",015-005-046,Filter - Oil Pump Steering,15.0,HIGH,Power steering filter,1.0
HF35467,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF35476,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF35488,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF6005,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF6057,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF6136,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF6162,FLEETGUARD,"FILTER, OIL, POWER STEERING",015-005-046,Filter - Oil Pump Steering,15.0,HIGH,Power steering filter,1.0
HF6510,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF6520,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF6552,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
HF6710,FLEETGUARD,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
J08568.0100,KALMAR LMV,"PUMP, FILTER , DEF",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
J37-1007,"PACCAR, INC.","FILTER, OIL, POWER STEERING",015-005-046,Filter - Oil Pump Steering,15.0,HIGH,Power steering filter,1.0
K266043,"BENDIX CORP, THE","AIR, DRYER, CARTRIDGE",082-010-001,Filter - Drier,82.0,HIGH,Filter drier,1.0
K37-1004,"PACCAR, INC.","FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
KL3Z-19N619-AA,FORD MOTOR CO,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
KV6Z-9601-A,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
LAF1934,LUBER-FINER,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
LC3Z-9601-A,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
LC3Z-9601-B,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
LC3Z-9N184-A,FORD MOTOR CO,"FILTER, FUEL/WATER SEPERATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
LF14000NN,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF14001NN,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF14002NN,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF14009NN,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16002,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16015,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16046,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16102,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16108,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16109,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16110,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16165,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16166,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16173,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16231,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16233,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16242,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16246,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16354,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16368,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16424,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16465,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF16511,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17494,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17499,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17502,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17503,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17509,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17511,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17515,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17527,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17531,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17538,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17539,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17549,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17810,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF17811,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3311,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3313,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3335,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3339,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3342,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3349,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3379,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3400,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3462,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3536,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3537,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3566,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3614,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3615,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3620,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3630,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3641,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3644,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3649,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3654,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3675,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3681,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3692,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3706,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3818,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3854,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3883,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3914,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3925,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3945,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3970,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3972,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF3973,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF4008,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF637,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF667,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF691A,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF692,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF716,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF780,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF796,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF9009,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF9025,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF9028,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF9030,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF9070,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
LF9667,FLEETGUARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
M1-107A,MOBIL OIL CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
M1-113A,MOBIL OIL CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
M1-204A,MOBIL OIL CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
M1-212A,MOBIL OIL CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
M37-6091,"PACCAR, INC.","FILTER, DEF FLUID",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
MGA10095,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MGA10316,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MGA10718,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MGA10906,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MGA42487,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MGA46213,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MGA46573,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MGA49022,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MGA49429,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MGL10010,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MGL10412,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MGL51334,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MGL51372,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MGL57060,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MGL57202,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MGL57502,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MGL7515,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MH3344840,MINUTEMAN,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MSA11084,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MSA41092,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MSA61009,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MSA71054,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MSA81014,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MSA81015,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MSA81053,MICROGARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
MSL10255,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MSL51372,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MSL57060,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MSL7515,MICROGARD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
MU2Z-6731-C,FORD MOTOR CO,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
N10G 36000006,ALLIANCE PARTS,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
N10G 91559,ALLIANCE PARTS,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
NG5900,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
NU2Z-6731-DA,FORD MOTOR CO,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
OTR25870,OTR - OVER THE ROAD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
OTROF60018,OTR - OVER THE ROAD,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
P34046,LEYMAN,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic filter,1.0
